YearMonth,Rating
2015-06,7.92
2015-07,8.545454545454545
2015-08,9.043478260869565
2015-09,8.045454545454545
2015-10,8.736842105263158
2015-11,8.705882352941176
2015-12,8.11111111111111
2016-01,8.318181818181818
2016-02,8.0
2016-03,7.833333333333333
2016-04,6.0625
2016-05,7.5
2016-06,7.428571428571429
2016-07,8.1
2016-08,8.2
2016-09,7.125
2016-10,8.818181818181818
2016-11,7.888888888888889
2016-12,7.75
2017-01,8.166666666666666
2017-02,7.176470588235294
2017-03,8.407407407407407
2017-04,8.181818181818182
2017-05,7.75
2017-06,8.823529411764707
2017-07,7.9523809523809526
2017-08,6.818181818181818
2017-09,7.555555555555555
2017-10,7.590909090909091
2017-11,8.363636363636363
2017-12,7.705882352941177
2018-01,8.461538461538462
2018-02,6.777777777777778
2018-03,7.157894736842105
2018-04,8.1875
2018-05,7.416666666666667
2018-06,7.454545454545454
2018-07,6.0
2018-08,8.428571428571429
2018-09,8.909090909090908
2018-10,7.5625
2018-11,8.375
2018-12,6.666666666666667
2019-01,7.538461538461538
2019-02,7.285714285714286
2019-03,8.2
2019-04,8.23076923076923
2019-05,7.6875
2019-06,3.6666666666666665
2019-07,8.444444444444445
2019-08,6.384615384615385
2019-09,7.090909090909091
2019-10,8.833333333333334
2019-11,5.25
2019-12,6.888888888888889
2020-01,7.5
2020-02,9.0
2020-03,8.333333333333334
2020-04,9.666666666666666
2020-05,10.0
2020-06,10.0
2020-07,10.0
2020-08,10.0
2020-09,9.5
2020-10,9.666666666666666
2020-11,8.333333333333334
2020-12,8.714285714285714
2021-01,10.0
2021-02,10.0
2021-03,10.0
2021-04,9.666666666666666
2021-05,9.75
2021-06,10.0
2021-07,9.2
2021-08,8.8
2021-09,8.0
2021-10,9.0
2021-11,8.5
2021-12,7.75
2022-01,6.5
2022-02,8.4
2022-03,8.384615384615385
2022-04,7.538461538461538
2022-05,8.222222222222221
2022-06,7.0
2022-07,5.2631578947368425
2022-08,7.571428571428571
2022-09,7.7272727272727275
2022-10,7.12
2022-11,7.0
2022-12,6.7
2023-01,7.444444444444445
2023-02,6.666666666666667
2023-03,6.545454545454546
2023-04,6.333333333333333
2023-05,8.166666666666666
2023-06,7.0
2023-07,5.0
2023-08,6.7272727272727275
2023-09,6.111111111111111
2023-10,7.133333333333334
2023-11,7.333333333333333
2023-12,8.857142857142858
2024-01,6.9
2024-02,7.75
